sample,T(¢J),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
080109MT1,97.7,19.9,1997,,383,5.89,,,0.86,247,8.99,,,2145,44221,950971,
080202MT1,97.4,30.3,3014,,451,3.05,,0.23,1.63,205,2.76,,,4933,53709,937650,
080330MT1,98.7,21.4,2234,,463,5.91,,0.2,1.64,10.3,2.23,,,5054,46718,945489,
080427MT1,96,37.9,3424,,772,7.34,,0.38,1.35,110,1.57,,,3822,68118,923705,
080531MT1,95,86.5,7709,,869,8.9,,0.59,0.8,1325,1.25,,,3946,63239,922814,
080615MT1,,42.7,3650,,425,6.1,,0.2,0.85,415,2.16,,,3450,72210,919798,
080723MT1,96.6,377,31844,1.43,1412,16.2,,,0.98,7331,57.4,,,11582,433164,514214,
080729MT1,99.3,72.9,6262,0.18,476,5.56,,0.17,0.67,994,0.63,,,2188,94932,895066,
080921MT1,97.2,37.2,3156,2.5,411,4.73,,0.22,0.49,585,1.74,,,1517,30040,964243,
081004MT1,96.7,94.6,8264,5.85,637,8.26,,0.26,1.2,1469,2.28,,,2347,45667,941503,
081130MT1,97.2,34.8,3153,0.01,526,6.1,,0.37,1.75,568,0.72,,,1975,41345,952389,
081231MT1,95.5,198,18076,0.38,1165,12.8,,0.74,2.96,3957,2.56,,,3905,102322,870359,
090222MT1,97.5,199,17751,,986,10.51,,0.66,1.8,3445,13.7,,,3055,107822,866717,
090317MT1,97.6,44.7,4053,,356,5.19,,0.45,0.95,775,4.78,,,1508,43291,949961,
090411MT1,97.5,92.9,8111,,377,5.45,,,,1639,4.08,,,1755,36641,951374,
090418MT1,96.2,482,43588,,3367,31.3,,,4.94,1682,19.2,,,3204,292863,654760,
090518MT1,97.4,80.1,7206,,364,3.45,,0.35,0.24,1368,1.37,,,1944,30937,958096,
090529MT1,97.1,76.4,6658,0.39,387,4.18,,0.15,0.3,661,1.88,,,1969,39003,951240,
090627MT1,,91.5,7867,0.08,421,4.13,,,0.68,1402,5.3,,,1671,64212,924325,
090711MT1,97.1,88,7633,0.07,456,4.65,,,0.32,1999,83.4,,,643,54645,934447,
090802MT1,97,124,11356,0.29,428,4.87,,,0.56,,5.77,,,1818,55060,931202,
090826MT1,97.5,19.2,2047,0.09,313,4.17,,0.03,0.03,113,,,,1495,30357,965652,
091028MT1,96.4,22,2256,0.1,422,4.95,,0.03,1.58,305,0.63,,,1631,35726,959632,
091115MT1,95.8,40.6,3953,,684,8.09,0.68,0.05,0.99,393,37.3,,,2800,47272,944811,
091213MT1,97,23.4,2299,,352,4.34,0.39,0.24,0.75,296,0.48,,,1398,29646,965980,
100210MT1,97,1.51,314,,260,4,0.32,0.23,0.54,10.8,0.05,,,1253,22542,975613,
100331MT1,97.9,2.25,367,,364,4.38,0.45,0.08,0.75,21.9,29.4,,,1766,45012,952432,
100505MT1,97,1.55,343,,379,4.05,0.42,0.36,0.66,3.46,29.9,,,1311,38496,959432,
100619MT1,96.6,1.98,323,,285,3.49,0.35,0.08,0.84,0.28,42,,,1198,30051,968094,
100813MT1,97.2,23,2126,,275,3.51,0.35,0.23,0.47,391,0.27,,,1122,32349,963708,
100825MT1,97.2,34.4,3044,,311,3.57,0.37,0.22,0.49,564,0.46,,,1176,46737,948129,
100911MT1,97.9,29.5,2775,0.17,333,4.34,0.44,0.32,0.76,500,0.43,,,1231,33519,961607,
101027MT1,96.2,6.76,901,,718,8.88,0.89,0.77,11.9,30.6,3.21,,,3554,90248,904516,
101209MT1,97,44.1,5552,,435,6.84,0.05,0.26,3.61,845,3.41,,,859,23479,968771,
110314MT1,98,5.15,487,0.05,410,3.45,0.39,0.28,0.27,65.7,0.65,,,1102,38777,959149,
110422MT1,98,60.3,5692,,600,5.64,0.45,0.55,1.49,568,3.12,,,1411,46436,945220,
110530MT1,92.9,27.9,2564,,484,5.95,0.54,0.29,0.75,223,2.83,,,1604,49745,945342,
110701MT1,97.2,490,3378,0.03,491,0.07,0.07,0.08,0.7,2.4,3.82,,,1906,90774,902953,
110722MT1,99.3,599,1401,0.1,716,4.1,0.44,0.13,0.64,85.6,16.9,,,1039,68840,927298,
110930MT1,97.6,25.5,2628,0.69,564,7.96,0.87,0.28,0.68,161,35.1,,,1867,47258,947451,
