sample,T(¢J),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
110521SYK2,,4.46,683,,582,4.56,0.2,0.25,19.1,33,1.47,,,2771,68958,926943,
110521SYK3,,2.59,470,,529,4.29,0.18,0.4,18.3,7.13,1.47,,,2620,61433,934914,
110818SYK,98.8,11.4,924,,416,2.13,0.09,0.04,6.52,99,9.86,,,2259,31954,964318,
110930SYK,96.5,2.38,491,0.22,492,2.51,0.06,0.17,25,,39,,,3317,46506,949124,
111102SYK,95.5,7.28,942,0.11,571,3.25,0.25,0.17,20.5,76.7,25.3,,,2523,32373,963458,
120530SYK,,32.8,728,,483,0.04,,0.27,20.8,3.57,107,,,2913,56923,938786,
120613SYK,96.7,22.2,769,,792,2.99,0.16,0.24,19.1,23.6,3.63,,,3231,56712,938424,
120704SYK,95.8,67.8,928,,1062,4.07,0.22,0.28,19.9,9.35,37.9,,,4390,73045,920435,
120818SYK,95.6,4.39,943,,970,3.94,0.25,0.22,24.9,18,2.3,,,4366,91018,902649,
120908SYK,95.6,3.22,625,,688,2.28,0.16,0.05,14.2,,6,,,3317,71521,923823,
130110SYK,96.8,2.42,526,,642,2.34,,,,,1.32,3543,0.44,3543.44,65682,929599,
130206SYK,96.6,2.81,715,0.04,805,4.06,0.46,0.06,16.4,1.03,40,2971,0.75,2971.75,116707,878734,
130306SYK,98,12.7,1627,,457,1,,,8.26,281,25,3308,6.22,3314.22,57673,936604,ªÅ®ð²V¬V
130416SYK,96.7,1.56,459,,369,1.41,0.14,0.01,11.4,,7.04,917,1.07,918.07,48111,950121,
130508SYK,98.2,15.5,1674,,722,2.68,0.16,0.09,13.8,,3.1,3704,4,3708,91817,902045,
130625SYK,98.3,1.28,366,,396,0.89,,0.17,11.3,,4.76,2507,5,2512,50413,946298,
130731SYK,96.1,1.44,544,,660,0.1,,,8.42,,4.41,2729,10,2739,52218,943823,
130823SYK,96.1,,506,,633,2.78,,,8.88,,5.23,2901,2,2903,52237,943701,
130923SYK,96.1,2.3,506,,488,2.03,0.11,0.27,11.3,6.98,4.66,2351,40,2391,44279,952306,
131014SYK,96.2,2.34,509,,591,2.49,0.15,0.2,15.9,,3.15,2613,9,2622,43230,953021,
131112SYK,96.4,1.98,390,,548,2.15,0.12,,7.59,,7.69,2734,14,2748,48443,947849,
131203SYK,96.3,3.37,572,,555,2.17,0.19,0.14,12.2,4.56,,2700,,2700,38760,957387,
140123SYK,98.3,2.47,436,,255,2.19,0.06,0.35,18.5,3.02,2.89,3196,48.9,3244.9,48967,947065,
140224SYK,98.2,2.11,562,,730,3.21,0.17,0.33,15.1,,6.44,2976,12.2,2988.2,45356,950334,
140326SYK,96.4,4.23,738,,847,3.45,0.16,0.2,15.9,,,3300,14.8,3314.8,53643,941431,
140428SYK,96.1,2.64,515,,618,2.53,0.11,0.17,14.3,,,2572,6.2,2578.2,44107,952160,
140513SYK,96.4,2.52,536,,601,2.5,0.14,0.14,13.6,,2.3,2461,20.5,2481.5,42045,954312,
140619SYK,95.7,3.05,496,,616,2.51,0.06,0.35,10.4,,1.08,2521,21,2542,38531,957795,
140715SYK,95.8,1.72,500,,639,2.6,0.13,0.25,12.3,,0.45,231,6.72,237.72,43364,955240,
140820SYK,102.1,,983,,1221,4.92,0.29,,24.9,,10.7,292,3741,4033,78733,914986,
140918SYK,96.1,,540,,629,2.51,0.14,,15.3,,1.87,2182,3.03,2185.03,45885,950739,
141011SYK,96.4,0.96,464,,670,2.99,0.12,,15.2,,0.87,2685,12.2,2697.2,41819,954326,
141114SYK,96.3,1.66,559,,783,3.49,0.19,,17,,1.4,1874,916,2790,44753,951088,
141205SYK,95.6,,475,,590,2.32,0.09,,13.9,,3.95,2237,2.03,2239.03,38647,958028,
