sample,T(¢J),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
040211SYK,,50.4,4640,,1218,0.22,,,244,940,2.17,,,6886,128058,857961,
040307SYK,,127,11295,,431,0.26,,0.89,135,2420,8.61,4024,6.22,4030,116937,864614,
040316SYK,,3.07,676,0.04,554,3.02,,0.57,118,26.6,2.85,3102,17.9,3119,80026,915471,
040330SYK,,93.2,8151,0.6,80.2,0.88,,,32.4,2036,3.67,,,3338,104634,881630,
040407SYK,,4.44,610,,199,1.47,,0.48,72,47.7,8.25,,,2692,109728,886636,
040416SYK,,114,10074,1.31,415,2.62,,,101,2289,16.2,2988,16.3,3019,131648,852319,
040423SYK,,20.6,1907,0.24,465,2.11,,0.2,67.4,336,22.4,,,2133,85003,910043,
040501SYK,,4.41,725,,734,3.42,,0.55,113,32.7,2.92,,,3043,138320,857021,
040514SYK,,3.34,717,0.39,7.05,1.47,,0.51,107,27.8,7.95,2726,7.93,2734,138618,857776,
040805SYK,,19,1723,2.53,468,2.12,,0.4,65.9,265,20.3,,,2811,82682,911940,
040818SYK,,6.58,793,,613,4.13,,0.24,80.5,50.5,9.19,,,3046,74090,921307,
040903SYK,,315,27145,,1554,7.43,,1.36,137,6431,42.5,,,7955,509550,446861,
041005SYK,,12.5,1316,2.26,751,3.37,,0.57,37.4,179,1.12,,,3638,70074,923985,
041021SYK,,114,10331,4.25,912,4.04,,0.49,44.6,2096,0.93,,,4079,121686,860729,
041208SYK,,3.89,808,1.68,635,2.79,,0.7,34.3,18,2.74,,,3556,50960,943977,
041230SYK,97.6,3.89,767,1.67,758,4.7,,0.39,32,23.6,5.45,,,3713,81240,913451,
050129SYK,97.8,3.9,707,,732,4.93,,0.44,34.9,20.6,5.82,,,3902,92349,902238,
050328SYK,97.5,4.75,704,2.17,937,5.64,,0.48,32.3,42,3,,,3109,91555,903604,
050418SYK,97.9,9.65,902,2.54,451,3.51,,0.26,18.8,222,3.13,,,2628,104362,891397,
050526SYK,97.6,30.6,2551,4.56,214,0.28,,0.07,7,607,1.45,,,3786,94980,897817,
050616SYK,97.4,2.7,907,,779,3.91,,0.65,39.6,1.18,5.91,,,4500,155794,837967,
050726SYK,96,26.2,2491,5.52,536,0.24,,1.02,45.2,54.8,22.1,,,3329,93181,900308,
050819SYK,97,486,38662,25.9,1835,10.6,,,99.7,8191,49.2,,,5574,460136,484931,
050930SYK,98.3,62,5737,,697,3.05,,0.52,46.9,498,3.13,,,2851,70269,919833,
051015SYK,98.6,72.2,6671,,739,6.45,,1.14,43.7,342,2.06,,,3278,61154,927691,
051113SYK,101.1,118,11070,0.7,1055,4.69,,0.96,57.4,2071,4.91,,,4951,81012,899654,
051224SYK,101.8,313,29140,3.33,4440,20.2,,1.65,274,5771,42.8,,,17662,412279,530054,
060110SYK,101.8,56.2,5263,,575,3.27,,0.16,38.2,529,3.5,,,2607,62535,928390,
060311SYK,98,3.96,662,,721,,,,10.5,,23.9,,,3403,101734,893441,
060418SYK,97,16.2,2870,0.9,51.6,0.61,,0.21,12.5,5.56,20,,,3301,119879,873843,
060422SYK,98,11.4,1197,0.03,588,2.5,,,8.44,76,6.85,,,3085,58874,936151,
060530SYK,96,62.6,5785,0.11,311,0.97,,,19.2,711,2.33,,,2166,66270,924671,
060621SYK,,31.2,2980,0.11,531,2.42,,0.4,6.01,84.2,1.44,,,5731,55641,934992,
060804SYK,98,71.1,6394,0.32,461,2.2,,4.02,2.28,1355,1.2,,,4447,59342,927919,
060901SYK,99,5.14,644,,264,1.74,,0.15,18.3,41.9,0.26,,,4545,50426,944054,
070118SYK,97,75.3,6588,0.07,555,2.25,,,7.26,1541,3.99,,,3097,17107,866516,
070227SYK,98.1,20.8,1869,0.08,417,1.74,,,5.96,312,5.39,,,2159,50020,857160,
070314SYK,96.4,52.3,4562,0.13,423,1.71,,,5.89,1091,15,,,2466,33382,888180,
070421SYK,95.6,1.7,424,,465,2.36,,,,,17.8,,,2623,56888,939578,
070622SYK,95.2,80.6,7479,,760,1.38,,,37,968,4.34,,,5028,86164,899478,
070703SYK,98,67.9,6154,,517,0.71,,,25.4,1270,5.77,,,3422,91051,897486,
070714SYK,94.8,35.1,3283,,6641,0.6,,0.05,26.4,139,0.21,,,1691,39128,949055,
070814SYK,98.4,24,2085,,351,0.83,,0.06,26.1,58.9,4,,,3308,39409,954733,
070922SYK,98,84,7871,,456,,,0.47,2.73,57.2,1.89,,,6832,71335,913360,
080109SYK,96.4,51.5,4675,,3467,0.61,,0.03,25.8,799,1.97,,,2667,63909,924403,
080203SYK,98.2,54.1,5128,,467,0.25,,0.23,13.6,58.1,2.05,,,4878,54678,934721,
080323SYK,93.5,42.1,3755,,524,1.63,,0.25,36.5,0.16,1.08,,,3262,41517,950860,
080413SYK,96.2,34.9,3203,,822,1.91,,0.19,64.6,7.2,2.77,,,3523,84147,908194,
080531SYK,94,4.99,714,,712,2.71,,0.26,69.8,,2.29,,,2916,62206,933372,
080615SYK,,18.9,1726,,504,1.77,,0.23,60,45.3,14.7,,,5227,61011,931391,
080723SYK,95.2,112,9386,0.73,152,0.42,,,20.8,2291,6.69,,,274,55046,932709,
080729SYK,95.3,49.7,4314,0.13,531,1.93,,0.09,76.1,717,0.25,,,2532,63950,927828,
080921SYK,92.5,63.7,5436,3.57,584,1.88,,0.09,69.6,422,2.32,,,5383,46532,941503,
080924SYK,,0.87,551,3.91,842,3,,0.34,31.2,3.69,1.92,,,5082,68924,924556,BIG
081004SYK,94.1,72.6,6318,3.89,588,2.15,,0.24,81.3,661,2.47,,,2961,45006,944303,
081102SYK,94.9,42.8,4048,0.19,644,2.55,,0.38,56.4,639,0.03,,,2719,53763,938085,
081206SYK,92.8,43.7,3863,0.04,608,2.47,,0.38,55.9,729,1.16,,,2735,36434,955528,
090118SYK,95.8,75.6,6179,0.06,479,2,,0.36,50.8,1341,4.74,,,2442,53096,936331,
090218SYK1,,3.79,627,,761,2.9,,0.42,33.3,1.69,4.11,,,2089,54568,941909,
090223SYK,,27.3,2561,,408,2.58,,0.33,70.8,554,1.27,,,1349,34040,960987,
090404SYK,94.9,32.6,2699,0.42,125,0.4,,0.003,15.6,634,5.7,,,448,16394,979646,
090418SYK,96.5,79.5,7310,,807,2.54,,0.24,82.2,174,4.94,,,1330,61639,928570,
090518SYK,95.2,78.2,6953,,447,1.49,,0.12,63.5,1451,2.35,,,1945,32601,956456,
090529SYK,91.5,57.7,5274,0.25,552,1.97,,,77.8,526,2,,,1382,42863,949264,
090627SYK,94.3,358,30149,0.37,945,2.74,,,148,5200,1.46,,,6277,193480,763439,
090729SYK,97.8,73,6533,0.15,,,,,0.24,,2.1,,,1962,94896,896534,
090802SYK,94.8,13.6,1112,,483,1.74,,,93.2,,3.02,,,2110,47400,948783,
090811SYK,96.8,1.8,412,0.16,485,1.93,,0.04,0.04,50.2,0.94,,,1643,75995,921411,
090826SYK,92.6,30.6,3151,0.15,413,1.69,,0.02,0.02,368,0.33,,,1880,40191,953964,
090904SYK1,95.3,2.11,364,,418,1.49,,0.33,0.33,19.8,0.41,,,1947,46506,950740,
091028SYK,91.7,29.5,2969,0.08,463,1.67,,0.02,20.1,527,0.74,,,1998,36334,957657,
091115SYK,94.5,25,2572,,494,1.66,0.09,0.02,21.3,308,32.5,,,3079,35642,957824,
091221SYK,96,3.03,446,,514,,,0.42,17.3,6.24,3.45,,,2168,39807,957036,
100203SYK,95,1.62,401,,393,1.8,0.11,0.33,16.1,32.3,0.21,,,1875,29554,967725,
100210SYK,91.3,13.18,1099,,263,0.97,0.05,0.19,11.1,196,0.08,,,2017,29634,966765,
100310SYK,97.2,3.72,778,,721,3.75,0.19,0.73,28.1,48,1.08,,,2872,64789,930754,
100427SYK,0,8.01,705,,254,1.12,0.06,0.27,17.2,24.4,39.8,,,3210,93226,902514,
100519SYK,94.5,4.01,424,,398,1.74,0.1,0.25,16.4,14.9,25.2,,,2494,36537,960085,
100701SYK,96,2.8,362,,396,1.74,0.09,0.07,16.4,11.5,43.5,,,2419,30838,965908,
100812SYK,96,16.3,1641,,355,1.71,0.09,0.12,17.3,343,,,,2091,29829,965705,
101006SYK,96,4.5,962,0.18,982,4.63,0.24,0.65,53.5,42.2,0.28,,,3704,38099,956147,
101013SYK,96.3,93.8,8004,,495,1.8,0.09,0.63,24.2,1835,4.48,,,2558,51826,935157,
101027SYK,97,2.07,514,,525.7,2.4,0.11,0.42,23.8,24.2,0.85,,,3071,46559,949277,
101201SYK,94.4,26.9,2654,,713,4.72,0.02,0.18,19.3,493,6.6,,,2313,33846,959924,
110104SYK,95.8,29.1,2879,,428,1.59,0.1,0.22,12.8,131,0.52,,,2900,14515,979104,
110521SYK1,96.4,3.25,515,,540,4.63,0.19,0.17,18.2,10.5,2.01,,,2883,75266,920756,
