sample,T(℃),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
080109SHP,100.5,71.8,5523,,115,0.28,,0.26,0.33,702,2.67,,,2518,67899,923168,
080203SHP,98.9,25,2265,,55.3,0.16,,,,317,7.62,,,2414,39413,955504,
080330SHP,99.2,31.2,2773,,98.1,0.03,,0.08,0.32,300,3.87,,,1788,43834,951172,
080427SHP,98.7,85.9,7612,0.05,125,0.15,,0.25,0.53,568,1.63,,,1908,82740,906958,
080524SHP,98,31.9,2876,,79.3,0.09,,0.11,0.32,459,0.97,,,3335,69706,923511,
080615SHP,,10.9,1270,,129,0.23,,0.21,0.44,33.7,3.05,,,4709,86902,906941,
080723SHP,98.2,76.3,6671,0.28,123,0.24,,0.07,0.4,1411,2.99,,,2534,125912,863268,
080729SHP,,104,8809,0,125,0.22,,,0.49,1316,1.06,,,1924,89203,898519,
080921SHP,98.8,59.7,4843,3.49,115,0.15,,0.23,0.21,269,2.12,,,1491,69781,923434,
081004SHP,97.6,55.8,4859,2.99,222,0.42,,0.31,0.91,786,3.72,,,2792,38190,953087,
081130SHP,98.4,60.3,5148,0.15,104,0.19,,0.18,0.3,510,1.76,,,3252,19756,971168,
081231SHP,98.5,76.3,6443,0.14,161,0.4,,,0.81,1446,40.1,,,3551,43541,944741,
090118SHP,99,108,8627,0.18,79.6,0.23,,0.13,0.36,1629,2.69,,,1586,60177,927790,
090222SHP,,51.1,4494,0.33,91.6,0.12,,0.17,0.33,848,4.27,,,902,28080,965528,
090317SHP,,27.5,2425,,134,0.21,,0.24,0.46,477,1.63,,,1206,41363,954366,
090411SHP,98.6,76.1,6657,,99.8,0.18,,,,1400,2.58,,,1331,32564,957871,
090418SHP,98.1,21.3,1945,,143,0.2,,,0.6,130,8.66,,,1834,64458,931459,
090518SHP,99.1,215,19074,,340,1,,0.92,1.09,2016,12,,,4160,58959,915221,
090529SHP,98.9,63,5395,0.43,109,0.17,,0.08,0.26,575,3.52,,,1833,31437,960584,
090712SHP,98.5,111,9524,0.1,137,0.22,,,0.9,2510,2.72,,,1214,45860,940640,
090802SHP,98.4,109,10003,0.29,115,0.18,,,,,4.38,,,1701,49169,938899,
090811SHP,96.7,1.35,291,0.11,106,0.19,,0.04,0.04,57.6,1.62,,,1473,15526,982542,
090826SHP,98.7,19.1,1983,0.1,87.8,0.17,,0.03,0.03,233,0.36,,,1301,26592,969784,
090909SHP1,96.3,0.8,187,,51.5,0.1,,0.12,0.12,0.21,1.88,,,1137,22738,975883,
090930SHP,98.1,27,2534,0.06,109,0.24,,0.3,0.3,304,1.2,,,1605,35305,960114,
091115SHP,98.1,4.3,354,,120,0.22,,0.02,0.52,8.24,49.4,,,1827,45523,952114,
091213SHP,98.7,18.4,1810,,111,0.22,,0.16,0.35,277,0.33,,,309,21549,975924,
100211SHP,98,2.09,267,,118,0.19,,0.23,0.37,1.88,0.05,,,1519,22329,975761,
100319SHP,98.5,27.8,2482,0.24,89.1,,0.13,0.35,0.34,369,1.32,,,1115,22641,973274,
100331SHP,99.4,3.33,300,,74.3,0.2,,0.07,0.42,21.3,25.8,,,1265,30073,968236,
100512SHP,98.5,2.22,342,,90.9,0.02,,0.2,0.41,1.62,56.5,,,1707,25677,972122,
100619SHP,99,11.6,1118,0.03,107,0.27,0.01,0.06,0.39,50.1,36.9,,,1463,19663,977550,
100813SHP,98.9,18,1631,,48.7,0.12,,0.05,0.22,275,0.34,,,681,17117,980228,
100825SHP,91.1,24.3,2219,,80.8,0.18,,0.26,0.4,129,0.59,,,1786,19791,975968,
100911SHP,98.3,32.7,2927,,95.1,0.25,0.01,0.2,0.32,374,0.76,,,1217,29714,965638,
101012SHP,96,15.7,1969,,544,1.28,0.04,1.48,2.66,201,0.93,,,4932,78765,913567,
101209SHP,99.2,13.2,1316,,123,0.27,,0.16,0.57,6.6,4.27,,,1557,36158,960822,
101222SHP,,1.35,209,,84,0.16,,0.16,0.5,,0.52,,,1212,16801,981692,
110105SHP,97.2,2.45,280,,111,0.22,,0.17,0.32,4.32,0.3,,,1353,17779,980470,
110314SHP,98.4,41,4044,0.21,484,0.63,0.02,0.9,1.41,671,1.28,,,5039,98651,891066,
110422SHP,98,32.1,2905,,76.4,0.11,<0.01,0.16,0.27,300,2.25,,,1431,48250,947003,
110530SHP,96.5,6.72,862,,432,1.04,0.04,0.45,1.24,10.2,0.88,,,3584,65339,929762,
110701SHP,98.2,178,467,0.02,178,0.4,0.02,0.06,1,,1.52,,,769,52744,945661,
111104SHP,97.4,2.77,415,0.01,197,1.24,0.04,0.17,1.08,3.02,23.2,,,1626,23462,974269,
130115SHP,97.8,6.89,687,,160,0.37,,,,,2.53,1982,0.34,1982.34,40971,956188,
130206SHP,100.3,6.91,595,0.03,204,1.99,,0.06,1.04,5.42,16.8,2227,1.8,2228.8,107659,889278,
130306SHP,90.6,94.9,11634,,2730,8.63,,,,624,62.6,22021,88.1,22109.1,519628,443106,空氣混染
130411SHP,99.9,8.26,1044,,263,1.21,0.1,0.06,1.17,,6.05,3681,18.1,3699.1,82728,912247,
130515SHP,97.3,5.15,576,,162,0.41,0.06,0.08,0.44,,4.68,2915,15,2930,69987,926332,
130613SHP,97.9,2.65,223,,38.1,0.1,0.11,0.09,0.19,10.6,2.37,1351,20,1371,41201,957149,
130731SHP,99.8,2.43,349,,114,0.15,,,,,6.08,1287,14,1301,27410,970817,
130826SHP,97.2,5.7,587,,223,0.89,,,,,5.04,1993,12,2005,66581,930592,
130923SHP,97.3,5.37,579,,199,0.53,0.01,0.34,0.62,4.91,3.81,2204,7,2211,47563,949433,
131011SHP,97.3,7.43,740,,274,0.64,0.05,0.37,1.06,7.48,3.85,2838,20,2858,56398,939710,
131112SHP,93.7,4.99,415,,154,0.43,,,,,3.15,2022,28,2050,33184,964188,
131203SHP,97.4,11.5,1033,,231,0.61,0.01,0.17,0.93,37.7,,2634,,2634,34394,961627,
140107SHP,98.3,13.8,1362,,180,0.75,,0.19,0.26,60.4,,1331,11.9,1342.9,21857,975180,
140224SHP,96.3,11.1,1397,,502,1.69,0.04,0.78,1.66,,4.44,5180,31,5211,86703,906165,
140326SHP,98,55.2,4019,,90.7,0.22,,0.05,0.17,47.5,633,936,55.7,991.7,20268,973892,
140428SHP,97.8,15.7,1356,,181.7,0.46,,0.22,0.44,77.4,479,1863,12.2,1875.2,37096,958915,
140513SHP,98.1,18,1492,,119.4,0.25,0.01,0.11,0.26,115,2.95,2530,17.9,2547.9,21681,974019,
