sample,T(¢J),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
080109GTP,110.3,13.8,1559,,49.1,0.03,,0.18,0.13,162,8.18,,,7279,59837,931091,
080329GTP,114.6,3.63,488.1,,37.5,0.12,,0.16,0.94,10.6,13.1,,,5157,41479,952810,
080414GTP,108.9,87.4,7656,,113,0.02,,0.22,0.17,127,8.83,,,7224,63422,921362,
080515GTP,110,98.8,9501,,79.1,0.05,,,,1.05,6.08,,,10704,66383,913227,
080723GTP,112,43.4,3949,,37.6,0.06,,0.12,0.2,56.1,1.74,,,5299,54546,936067,
080805GTP,112,5.7,747,,40.6,0.05,,,,,0.77,,,5348,45777,948081,
080926GTP,112.4,6.44,467,3.62,47.8,0.05,,0.24,0.43,2.29,2.87,,,4535,71764,923169,
081021GTP,108.5,,871,4.97,38,0.22,,0.23,0.64,9.33,6.29,,,5991,29366,963714,
081216GTP1,109.6,1.93,376,,33.1,0.04,,0.22,2.12,,1.55,,,4430,24088,971067,
081216GTP2,109.6,44.5,4055,0.02,33.3,0.05,,0.31,0.57,785,1.28,,,4675,29533,960871,
090114GTP,108.3,40.7,3707,0.08,28.6,0.03,,0.3,0.18,300,1.95,,,8155,26161,961606,
090219GTP1,109,3.33,744,,43.2,,,0.63,0.35,26.8,1.02,,,1288,33875,964018,
090317GTP1,111.7,113,9372,,,,,,1.05,2473,11.3,,,4631,108755,874643,
090430GTP,111,1.43,409,,22.5,0.02,,,0.71,1.15,8.65,,,525,26879,972152,
090509GTP1,113,24.4,925,,32,,,0.49,1.07,76.6,4.11,,,1367,33858,963711,
090610GTP,118,69,7126,,29.7,,,0.08,0.3,105,0.83,,,257,52562,939850,
090709GTP,116.1,2.07,430,,33.5,0.04,,0.15,3.91,67.2,5.12,,,8052,31793,959612,
090729GTP,111,8.08,920,0.17,26.5,,,0.26,6.94,0.26,2.6,,,1609,55531,941895,
090907GTP1,106,1.3,282,,23.4,0.03,,0.21,0.21,1.66,4.83,,,1603,28315,969769,
091021GTP1,109.2,1.3,296,0.04,15.3,0.03,,0.02,0.02,6.78,0.05,,,1972,32535,965173,
091028GTP1,106,2.39,337,0.02,24.4,0.04,,0.03,0.99,3.99,3.62,,,2123,25774,971731,
091208GZP1,109.3,1.72,405,,26.9,,,0.3,0.28,4.2,1.14,,,1765,26683,971113,
100203GZP1,104,3.59,443,,13.3,0.01,,0.45,0.94,26.9,2.28,,,2039,31147,966322,
100304GZP1,102.5,6.37,872,,22.7,,,0.47,0.29,53.6,0.15,,,2062,36854,960128,
100428GZP1,97.6,4.03,446,,84.5,0.19,0.02,0.36,0.49,3.47,34.66,,,3478,35473,960475,
100515GZP1,110.5,6.9,776,,27.6,0.06,1,0.6,1.03,43.7,29.5,,,5400,47434,946279,
100701GZP1,107.8,47.5,4388,,29.4,0.04,,0.14,0.43,881,61.9,,,3473,33712,957407,
100706GZP1,110.3,59.2,5306,,24.9,0.03,,0.42,0.72,1066,80.2,,,2932,36177,954354,
100923GZP1,108.2,20,1934,,20.7,0.04,,0.39,0.86,370,2.63,,,2607,31368,963676,
101012GZP1,111.3,2.11,526,0.06,21.9,0.04,,0.44,0.24,22.7,0.39,,,3131,25956,970339,
101222GZP,108,26,2538,,20.9,,,0.32,0.1,126,1.94,,,3025,11851,982410,
110317GZP,104.4,84.8,7303,,54.9,0.07,,0.34,0.19,1884,1.72,,,15040,310505,665126,
110818GZP,91.5,1.93,517,,93.6,0.16,0.03,0.17,0.39,2.1,9.73,,,3158,27598,968620,
