sample,T(¢J),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
080109MT2,60.2,152,11040,,2455,23.1,,6.51,9.91,1755,80.3,,,3146,267770,713562,
080202MT2,65.9,78.4,8099,,1100,14.5,,0.34,1.23,987,52.3,,,855,77264,911548,
080330MT2,67.5,200,14358,,8324,87.3,,1.99,10.1,2214,43,,,9940,489988,474834,
080427MT2,63.3,145,10896,,7615,78.4,,3.57,9.12,4.22,7.76,,,9465,561696,410080,
080531MT2,65.7,128,10783,,7559,78.2,,3.62,6.55,798,9.83,,,13825,545421,421388,
080615MT2,,315,29016,2.59,8082,137,,6.26,8.75,5805,7.65,,,16608,594767,345244,
080723M22,66.6,672,58754,2.53,6816,94.2,,1.86,,13238,8.7,,,13925,814138,92350,
080729MT2,68.7,87,8003,,5653,77.8,,1.63,7.22,14.9,4.85,,,11385,553812,420954,
080921MT2,62,598,49026,45.6,13085,181,,9.06,14.5,12492,7.5,,,24301,831347,68895,
081004MT2,61.7,526,45283,41.1,9055,120,,3.87,13.7,9722,30.8,,,15847,584136,335220,
081231MT2,45.1,1118,90390,,10143,111,,10.6,11.3,24322,26.7,,,13935,613304,246628,
090111MT2,44.2,225,19096,0.55,1974,21.8,,2.08,2.21,4300,6.64,,,3511,130737,840122,
090118MT2,48.3,50.2,4361,,602,8.3,,0.45,0.65,769,0.58,,,1329,61422,931456,
090222MT2,42.6,857,76338,,5905,80.2,,4.31,6.21,14651,94,,,8314,508968,384782,
090317MT2,,122,7961,,4088,42.7,,1.8,62.9,1061,27.5,,,2811,428185,555638,
090418MT2,46,41.5,4133,,3341,25.9,,,,63.5,15.2,,,5553,363601,623225,
090518MT2,45.2,26.3,2466,,1150,20,,1.43,2.16,97.7,7.79,,,2645,120996,872589,
090529MT2,45.9,105,10240,1.27,7801,89,,1.81,10.5,994,4.9,,,10714,538755,431284,
090712MT2,44.4,40,2288,,1674,18.8,,0.65,2,367,4.53,,,1310,84305,909989,
090729MT2,51.5,68.9,5600,1.39,3968,45.7,,1.73,2.81,1.73,4.29,,,4569,244003,741733,
090802MT2,51.4,111,10809,1.95,7069,88.5,,4.42,8.89,4.41,28.4,,,14347,614059,353470,
090826MT2,76.4,213,18493,1.49,12622,167,,1.29,1.3,2297,3.66,,,13179,711433,241588,
090908MT2,70.9,28.5,3188,,1357,13.9,,2.18,2.2,28.8,7.81,,,5053,231760,758558,
091028MT2,57.3,58.9,5528,0.33,1013,12.1,,0.08,1.24,746,2.04,,,589,63941,928108,
091115MT2,46.3,14.7,1167,,917,9.4,0.79,0.38,0.86,183,0.46,,,939,52631,944137,
091211MT2,44.1,63.8,8025,1.99,6886,87.2,7.92,5.61,11.3,649,15.7,,,13595,525741,444911,
091213MT2,41.2,7.79,645,,185,2.24,0.2,0.16,0.24,125,0.45,,,253,12399,986382,
100210MT2,36.1,212,15697,,9540,151,12.1,9.06,9.96,2388,3.04,,,13294,603202,355482,
100512MT2,50.3,55.8,3747,0.29,2321,30.7,,1.86,4.27,280,143,,,4482,151045,837889,
100619MT2,61.6,169,15568,1.54,10253,128,12.5,2.98,17.1,1584,688,,,21949,883914,65714,
100813MT2,59.9,154,15528,,10168,137,14.3,4.39,17.6,1327,,,,18212,701207,253231,
100825MT2,58.2,151,12844,,8003,94.9,9.34,4.21,14.2,1292,14.8,,,12876,476637,488059,
101027MT2,52,135,10540,,5696,63,6.04,3.15,37.5,1510,55.5,,,8190,623937,349827,
101230MT2,53.9,76.6,6734,,3033,65.3,7.34,4.31,5.84,202,3.41,,,10349,311438,668080,
110105MT2,,81.2,7414,,6224,71,8.52,4.5,5.46,340,3.84,,,11665,347018,627164,
110314MT2,73.2,151,15672,1.57,5463,68.4,5.85,3.46,14.1,1995,5.82,,,11070,285759,679790,
110422MT2,57.9,306,26600,,6626,61.3,4.51,4.82,14.4,559,62.2,,,13299,903728,48734,
110701MT2,59.3,2915,4244,,3240,29.5,3.26,0.61,5.85,48,19.9,,,937,304880,683676,
110930MT2,53.7,122,13874,1.08,11181,133,14.8,4.03,18.9,464,414,,,21621,735922,216232,
