sample,T(℃),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
040307BY,,167,16553,,1536,1.15,,3.37,0.25,3340,,,,1781,188597,788022,
040316BY,,7.69,2317,,1927,12.6,,1.72,2.92,57,2.88,24547,1347,25894,167989,801788,
040330BY,,136,13588,0.16,2136,13.8,,2.21,0.21,2965,4.84,,,1254,164298,815601,
040407BY,,2.26,1233,,927,6.88,,0.96,10.9,38.9,31.6,,,800,198090,798858,
040416BY,,6.56,1893,,1731,11,,1.54,0.27,63.2,,1595,173,1773,118871,875649,
040423BY,,78.8,7077,0.52,703,4.16,,0.41,1.92,1378,8.74,,,1090,96969,892688,
040501BY,,9.93,1589,0.2,1420,1.8,,2.06,0.97,123,3.64,,,1024,109684,886142,
040514BY,,209,18694,2.2,1137,8.47,,1.52,1.48,4175,32.1,1533,57.4,1590,241960,732188,
040616BY,,3.75,1083,,1216,2.84,,1.09,1.44,4.66,1.48,,,732,100141,896812,
040805BY,,2020,1821,,1675,9.74,,1.69,5.1,34.3,,,,1206,186237,806990,
040818BY,,145,12906,,1274,7.94,,1.82,0.85,2551,11.6,,,1112,173626,808364,
040903BY,,11.4,2185,,1154,7.78,,2.12,24.1,27.1,349,,,1798,377382,617060,
041005BY,,7.04,1589,,1459,8.48,,1.44,2.86,19.9,0.33,,,835,137024,859053,
041021BY,,148,13811,5,1537,1.07,,1.12,0.84,2947,,,,888,137950,842712,
041208BY,98.1,425,44223,2.35,10137,74.6,,6.67,5.78,9563,19.1,,,4270,831793,99481,
050224BY,98.3,15.6,2765,2.55,1876,12.2,,1.09,1.31,380,4.86,,,1047,107726,886169,
050309BY,97.4,226,21352,7.47,3173,23.4,,2.27,1.94,5109,,,,3085,234957,732063,
050328BY,98.8,530,47246,16.8,2071,19.6,,3.92,1.28,12662,23.1,,,1205,548593,387628,
050416BY,99.6,17.8,1531,3.52,70.3,,,0.56,5.82,483,,,,645,113728,883515,
050616BY,97.8,70.1,6607,4.67,964,6.98,,0.91,1.3,713,9.24,,,1939,84248,905436,
050726BY,98.7,91,7810,9.34,895,3.25,,2.06,22.6,1709,36.3,,,786,173103,815533,
050819BY,100.3,4.79,1303,3.74,505,2.93,,1.39,9.5,137,50.1,,,1200,75123,921659,
050930BY,98,56.7,5536,,1052,8.79,,1.03,1.78,228,1.64,,,2949,54741,935425,
051015BY,101.1,41.7,4580,,2077,18.1,,2.09,3.41,390,2.39,,,1586,136817,854482,
051119BY,102.5,86,8036,0.66,1050,10,,0.91,0.34,1779,1.66,,,1115,68035,919885,
051224BY,102.9,392,39400,2.94,9482,55.7,,6.75,3.75,8066,34.5,,,6916,544141,391498,
060119BY,100.8,127,12372,0.49,2472,16.7,,1.44,0.82,2808,3.08,,,1832,206342,774024,
060328BY,,11.2,1618,0.11,1159,3.28,,,,,5.94,,,726,120346,876130,
060430BY,101,115,10535,,1043,6.04,,,,146,4.52,,,1918,104021,882213,
060530BY,95,40.9,4625,,1327,8.13,,0.11,0.08,29,8.68,,,4376,92783,896802,
060630BY,97,1.92,760,0.07,821,5.17,,0.67,0.07,,2.74,,,2188,73729,922490,
060719BY,103,183,16199,1.17,1485,9.25,,6.67,0.66,3550,17.2,,,1121,252015,725411,
060808BY,100,29.5,6908,0.42,5996,37.8,,4.81,1.83,319,34.2,,,3421,668965,314284,
061005BY,101,100,9523,0.4,1778,10.7,,1.36,0.57,1969,87.5,,,1175,205662,779693,
070119BY,102,142,12861,0.79,1632,9.98,,4.02,0.62,2760,52.4,,,1148,228839,752552,
070228BY,99,66.6,6486,0.23,1530,9,,1.02,0.38,908,7.07,,,1224,102431,887336,
070421BY,97.6,3.04,843,,689,4.91,,,,,61.3,,,716,63510,934172,
070531BY,97.5,82.3,8021,,1277,7.83,,0.58,0.25,1630,13.7,,,1664,109636,877667,
070714BY,95.5,47.1,4739,,1050,4.04,,0.44,0.45,723,5.27,,,1013,69719,922699,
070830BY,95.6,56.5,5414,,1024,4.97,,0.34,0.32,495,4.01,,,3000,73547,916454,
070916BY,91.5,56.3,5258,,781,,,0.39,0.21,763,2.46,,,2044,52649,938445,
080109BY,99.5,71.5,6733,0.34,1311,8.98,,1.44,0.24,1225,33.5,,,1132,131593,857890,
080203BY,95,60.6,5858,,1033,4.21,,0.44,0.31,903,6.36,,,1930,76388,913816,
080330BY,92.9,958,85165,,9248,30.1,,7.13,3.73,12366,34.8,,,212,749100,142875,
080427BY,97.6,209,18846,1.33,2677,9.68,,2.06,1.41,3311,3.14,,,1168,258467,715304,
080524BY,97,40.1,4059,,1008,4.86,,0.59,0.4,525,1.19,,,964,113202,880195,
080615BY,,77.3,6950,,891,6.54,,0.9,0.33,1170,2.24,,,2560,112052,876291,
080723BY,97.2,89.6,8379,0.72,1261,7.4,,0.42,0.29,1938,2.17,,,1017,128759,858545,
080729BY,96.6,178,15605,0.64,1762,9.18,,0.42,0.52,3463,1.86,,,763,114702,863513,
081004BY,97,81.1,7847,8.83,1860,14,,1.91,0.46,1488,4.82,,,922,123482,864290,
081130BY,85.3,752,65980,,4022,20.6,,2.48,1.13,14969,22,,,1768,279820,632643,
090118BY,96.6,96.3,8722,,1391,10.3,,1.55,0.2,1789,2.2,,,1365,130515,856107,
090222BY,95,167,15771,0.87,1377,9.79,,3.38,0.65,3507,4.16,,,767,118597,859795,
090317BY,95,17.5,2429,,298,1.09,,0.64,0.41,617,3.74,,,860,75794,919978,
090418BY,95,1074,93149,,6693,9.91,,29.8,,24538,46.3,,,1386,649690,223384,
090518BY,98,72.3,6778,,493,3.16,,0.8,0.23,1414,1.21,,,2185,44581,944470,
090529BY,97.4,110,10027,,1041,5.7,,0.23,,2224,2.37,,,1046,72278,913267,
090721BY,97.8,3.11,670,,569,,,0.11,0.11,15.8,1.43,,,744,52858,945139,
090826BY,98.1,19.3,2225,0.12,561,3.9,,0.09,0.09,404,0.78,,,688,41017,955082,
090916BY,98.7,1.01,457,,582,3.16,,0.75,0.76,0.35,,,,584,43806,954565,
090930BY,98,31,3263,0.1,427,2.94,,0.91,0.91,588,,,,835,63349,931502,
091223BY,96.5,11.5,1612,,697,4.21,0.23,0.8,0.5,373,4.9,,,484,61512,935299,
100120BY,97.5,4.02,1121,,790,5.14,0.31,1.11,0.26,27.3,7.3,,,544,81030,916470,
100310BY,98,5.29,1069,,849,5.46,0.33,0.91,0.5,57.2,1.5,,,679,108141,889192,
100430BY,96,49.5,4692,,680,4.15,0.33,0.96,0.33,1096,,,,646,70473,922358,
100519BY,96.6,4.26,620,,506,3.05,0.43,0.64,0.23,26.7,28.3,,,517,45955,952338,
100701BY,97.1,28.1,2795,,621,3.97,0.27,0.24,0.24,566,53.4,,,535,41983,953412,
101006BY,96,3.67,1135,0.05,868,5.73,0.37,1.01,0.44,50.2,0.63,,,786,65753,931395,
101012BY,98.3,37.4,3691,0.29,849,5.16,0.32,1.34,0.45,733,1.78,,,819,67800,926061,
101208BY,97.4,2.79,827,,964,7.56,0.04,0.67,0.47,45.6,15.6,,,741,74944,922452,
101222BY,97.3,2.48,727,,758,4.4,0.32,0.65,0.49,37.7,1.34,,,723,41314,956430,
110105BY,96.8,37.4,4516,,2190,12.5,1.01,2.27,0.49,616,3.42,,,1847,145785,844988,
110818BY,97.7,66.5,6423,1.38,621,4.18,0.26,0.26,0.28,627,6.54,,,1375,46930,943944,
110930BY,98.5,19.1,2034,0.54,455,3.19,0.24,0.26,0.13,211,24.85,,,1246,32857,963149,
111104BY,97.4,2.81,766,0.08,834,6.55,0.65,0.39,0.33,18.9,30.45,,,951,42287,955103,
120530BY,96.5,37.1,1346,,784,6.24,0.67,,,6.52,3.48,,,1530,86234,910050,
120607BY,96.8,32.3,1524,,638,5.11,0.68,,,16.8,6.29,,,1622,76230,919922,
120704BY,96.7,52.6,1648,,1469,9.1,0.68,1.43,,82.3,44.9,,,3123,111788,882342,
120818BY,97.6,5.97,1291,,1104,8.9,0.51,2.2,0.81,34.7,4.18,,,2890,145890,848767,
120925BY,96.8,6.34,1371,,1283,8.38,0.56,0.69,0.11,68,2.25,,,2059,104448,890753,
130110BY,97.3,4.18,863,,837,4.52,,,,12.2,0.85,460,1022,1482,60820,935976,
130207BY,98.3,5.72,998,0.33,966,7.16,0.93,0.16,0.72,36.2,288,46,242,288,31828,965861,
130305BY,96.4,5.47,1405,,1558,6.8,,,,13.6,1.52,278,1521,1799,100984,894225,
130411BY,98,1.89,377,,299,1.84,0.19,0.03,0.05,8.73,14.7,543,177,720,69525,929350,
130508BY,99.4,2.54,459,0.26,493,3.42,0.26,0.11,,13.1,1352,306,1047,1353,95504,902164,
130625BY,97.1,2.26,445,0.2,426,1.99,,0.39,0.1,10.8,1242,573,670,1243,49864,948001,
130731BY,97.6,2,685,,812,4.93,0.28,,,,4.41,524,1890,2414,50738,945339,
130823BY,97,2.31,713,3.56,847,5.09,0.46,,,9.18,1.69,575,675,1250,54581,942586,
130923BY,97.4,17,1913,,657,4.03,0.26,0.51,0.14,131,5.82,475,775,1250,42639,953382,
131011BY,98.2,2.39,644,,737,4.77,0.32,0.56,0.35,19.1,3.69,589,707,1296,44733,952559,
131118BY,97.6,124,13132,,6943,41.1,3.12,,,731,30.2,3817,5573,9390,355663,613941,空氣混染
131203BY,97.8,3.99,723,,1117,8.71,0.66,0.25,0.08,22.1,,259,,259,36839,960089,
140107BY,97.6,2.67,542,,521,4.49,0.45,0.27,,26.6,,536,1102,1638,48055,949207,
140217BY,99.7,3.18,872,,966,6.74,0.41,0.9,0.16,20,3.74,263,1202,1465,53322,943337,
140325BY,97.6,4.04,795,,860,5.41,0.32,0.43,0.12,7.67,558,243,1177,1420,52145,944201,
140428BY,97.7,4.57,747,,737,4.75,0.3,0.37,0.13,31.1,418,32.4,1187,1219.4,47536,949299,
140514BY,96.1,4.18,676,,724,4.79,0.35,0.34,0.12,11.6,1.75,273,891,1164,44454,952956,
140619BY,98.3,3.21,845,,903,5.68,0.42,0.8,0.11,12.7,1.47,267,1077,1344,49882,946997,
140715BY,97.1,27.5,2735,,818,5.13,0.36,0.59,0.25,273,1.22,391,894,1285,50704,944147,
140820BY,97,,1206,,1266,7.91,0.5,,,,3.47,417,1405,1822,87448,908244,
140919BY,97.1,12.7,776,,2832,4.72,0.32,,,21,2.64,160,813,973,48073,947302,
141012BY,97,1.75,680,,796,4.91,0.31,,,,1.77,171,1032,1203,48608,948702,
141114BY,97.6,16.3,2259,,1125,7.88,0.59,,,359,2.13,1058,623,1681,57382,937164,
141203BY,97.4,,1090,,1254,7.76,0.41,0.85,0.19,43.2,7.55,391,1405,1796,65642,930242,
