sample,T(℃),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
090706DYK,116.2,2.33,305,0.03,2.36,,,0.1,0.88,70.06,1006,,,1410,23440,973762,
090730DYK,111,8.88,891,0.12,8.46,,,0.13,0.49,0.13,975,,,1408,19632,977075,
090902DYK1,113.3,0.91,250,,3.92,,,0.33,0.33,0.27,1075,,,1561,28317,968791,
090907DYKL,117,0.32,222,,3.02,,,0.17,0.17,2.11,1838,,,1924,30100,965910,大噴氣孔
091028DYK,115,1.93,292,0.02,1.74,,,0.03,0.03,17.5,708,,,1608,23626,973745,
091211DYK,115.7,26.2,2505,,3.01,,,0.35,0.16,634,471,,,1500,24842,970019,
091223DYK,115.5,2.6,304,,2.64,,,0.26,0.14,14.2,1000,,,1494,25180,972003,
091223DYK,116.9,2.2,310,,2.76,,,0.32,0.15,19.8,861,,,1428,33701,963675,
100210DYK,102.2,3.08,333,,2.5,,,0.24,0.12,28.3,78.5,,,1487,29671,968396,
100304DYK,0,4.87,543,,5.1,,,0.25,0.24,73.8,772,,,1503,34298,962800,
100428DYK,116.5,8.33,761,,7.65,0.09,,0.31,0.45,109,280,,,1713,61819,935300,
100701DYK,103.4,9.02,859,,6.97,,,0.08,0.51,182,87.8,,,1669,27953,969233,
100706DYK,116,23.8,2221,,6.07,,,0.27,0.16,514,521,,,1768,31216,963729,
100819DYK,114.8,1.49,280,,4.16,,,0.11,0.21,11,962,,,1557,30844,966340,
101006DYK,102.1,1.36,300,0.04,4.12,0.01,,0.22,0.11,15.1,16.6,,,1763,17837,980063,
101208DYK,112,21.4,2054,,3.85,0.82,,0.11,0.19,420,917,,,1562,26593,968427,
101221DYK,108.5,2.85,367,,7.92,,,0.23,2.55,32.2,339,,,1970,20123,977155,
101229DYK,108.5,5.15,534,,3.96,,,0.21,1.78,95.4,320,,,1942,24656,972442,
110317DYK,100.8,1.82,291,0.11,2.48,,,0.16,0.34,10.8,4.6,,,1544,84535,913609,
110330DYK,108,1.04,108,0.01,2.28,,,0.03,2.21,5.65,185,,,1388,22498,975809,
110818DYK,,581,50290,,156,0.68,,0.21,3.42,5759,1422,,,2395,92833,846560,
120525DYK,113.7,3.6,545,0.01,4.25,0.11,0.06,0.44,0.69,5.53,250,,,2379,28886,967926,
120624DYK,115.8,1.52,323,,0.3,,,0.33,0.3,4.29,673,,,2094,26588,970315,
120730DYK,111.2,2.4,361,,4.35,,,0.1,13,6.26,1097,,,1818,35505,961193,
120820DYK,116.5,3.23,436,,6.75,,,0.21,0.37,,581,,,2206,38010,958756,
120914DYK,106.2,3.52,587,,13.4,0.01,0.01,0.06,0.15,,1031,,,1995,34463,961906,
130115DYK,98.2,22.2,2061,,5.18,,,,,167,8.55,1746,330,2076,33040,962617,
130220DYK,101.2,10.9,1308,,8.18,,,,,212,32.5,1414,394,1808,37958,958660,
130306DYK,111,16.6,1661,,6.61,0.1,,,,292,1046,1150,497,1647,34279,961048,
130320DYK,112.8,108,11876,1.89,77.1,3.64,,0.24,0.82,203,332,1982,272,2254,41845,943295,
130416DYK,122.7,2.16,286,0.37,4.75,,,0.01,,14,372,1029,519,1548,32737,965033,
130523DYK,91,40.2,3640,0.65,531,6.56,0.63,0.26,0.37,313,6.89,1829,332,2161,57531,935765,空氣混染
130613DYK,98.7,19.9,1692,0.21,4.14,,,0.09,0.07,84,549,1296,199,1495,31551,964603,
130802DYK,99.8,1.62,309,,13.2,,,,,,1.98,1257,439,1696,23549,974429,
130827DYK,99.1,37,3035,2.26,4.66,,,,0.05,213,458,1140,160,1300,26219,968730,
130927DYK,112,1.03,278,,9.91,0.02,,0.18,0.04,2,126,1558,264,1822,23694,974066,
131014DYK,113,1.69,255,,9.02,,,0.11,0.16,9,128,1633,283,1916,23137,974543,
131118DYK,99.3,8.83,941,,13.1,,,,,114,89.6,1917,354,2271,29721,966842,
131212DYK,113,9.54,1032,,8.37,,,0.13,0.08,61,301,2010,,2010,51553,944646,
140107DYK,99,20.2,1882,,4.97,,,0.14,,129,34.6,1402,38.5,1440.5,27135,969351,
140218DYK,104.9,2.46,294,,5.3,,,0.17,0.04,,1475,974,701,1675,21646,974898,
140325DYK,100.3,5201,408716,,82,,,,,49136,47850,8058,5783,13841,475170,,空氣混染
140429DYK,97.8,3970,304315,,33.4,,,,,39193,28352,6688,2775,9463,614671,,空氣混染
140513DYK,101.2,1.74,370,,12.2,,,0.14,0.09,0.47,145,1545,850,2395,25115,971958,
140620DYK,107.1,2.26,340,,12.5,0.01,0.01,0.22,0.11,0.81,469,4058,1159,5217,23949,970007,
140714DYK,113.5,25.4,2367,,12.9,0.01,,0.17,3.5,142,214,1767,517,2284,25827,969121,
140821DYK,101.1,32.7,2924,,10.8,0.01,,,,68.9,419,3047,430,3477,53058,940008,
140918DYK,113,9.11,353,,6.67,0.01,,,,,191,999,680,1679,23957,973801,
141012DYK,113.4,5.94,792,,8.26,,,,,63.4,268,1390,818,2208,24585,972066,
141112DYK,113,10.9,1299,,9.92,,,0.21,4.07,188,115,2234,10.1,2244.1,24230,971895,
141203DYK,113.4,1.28,367,,11.2,,,0.32,0.32,,242,1545,517,2062,25544,971737,
